Job array  : 710, task 5
Node       : bn002
Started at : Sun Mar 15 11:13:05 AM EDT 2026
Config     : train/config/best_hparams.yaml
Study      : yoloe_hparam_search_v2 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Study name : yoloe_hparam_search_v2
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 5] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=486.8005 | VLoss=513.1558 | AP@50=0.0004
  Epoch   2/50 | LR=9.20e-05 | TLoss=338.2325 | VLoss=315.2647 | AP@50=0.0021
  Epoch   3/50 | LR=1.41e-04 | TLoss=179.0546 | VLoss=167.4053 | AP@50=0.0002
  Epoch   4/50 | LR=1.89e-04 | TLoss=92.5977 | VLoss=84.2930 | AP@50=0.0004
  Epoch   5/50 | LR=2.38e-04 | TLoss=50.8057 | VLoss=50.4025 | AP@50=0.0000
  Epoch   6/50 | LR=2.87e-04 | TLoss=33.6856 | VLoss=40.9827 | AP@50=0.0000
  Epoch   7/50 | LR=3.35e-04 | TLoss=28.1460 | VLoss=42.7076 | AP@50=0.0065
  Epoch   8/50 | LR=3.84e-04 | TLoss=26.6809 | VLoss=35.7852 | AP@50=0.0916
  Epoch   9/50 | LR=4.33e-04 | TLoss=24.2732 | VLoss=38.5538 | AP@50=0.1859
  Epoch  10/50 | LR=4.32e-04 | TLoss=21.6722 | VLoss=34.3671 | AP@50=0.1649
  Epoch  11/50 | LR=4.30e-04 | TLoss=18.6318 | VLoss=38.7507 | AP@50=0.2095
  Epoch  12/50 | LR=4.28e-04 | TLoss=18.7980 | VLoss=34.7095 | AP@50=0.2845
  Epoch  13/50 | LR=4.23e-04 | TLoss=15.1364 | VLoss=42.3561 | AP@50=0.3222
  Epoch  14/50 | LR=4.18e-04 | TLoss=15.0010 | VLoss=37.7901 | AP@50=0.1706
  Epoch  15/50 | LR=4.12e-04 | TLoss=13.6703 | VLoss=34.6934 | AP@50=0.4699
  Epoch  16/50 | LR=4.05e-04 | TLoss=13.3194 | VLoss=34.7761 | AP@50=0.3081
  Epoch  17/50 | LR=3.96e-04 | TLoss=12.1111 | VLoss=34.9479 | AP@50=0.3298
  Epoch  18/50 | LR=3.87e-04 | TLoss=11.3075 | VLoss=35.7018 | AP@50=0.1796
  Epoch  19/50 | LR=3.76e-04 | TLoss=10.1034 | VLoss=33.2361 | AP@50=0.3670
  Epoch  20/50 | LR=3.65e-04 | TLoss=9.9279 | VLoss=35.9312 | AP@50=0.2397
  Epoch  21/50 | LR=3.53e-04 | TLoss=9.9883 | VLoss=30.4337 | AP@50=0.4394
  Epoch  22/50 | LR=3.41e-04 | TLoss=9.0326 | VLoss=32.5943 | AP@50=0.3429
  Epoch  23/50 | LR=3.27e-04 | TLoss=8.9300 | VLoss=31.7004 | AP@50=0.3587
  Epoch  24/50 | LR=3.13e-04 | TLoss=9.2421 | VLoss=32.6878 | AP@50=0.2866
  Epoch  25/50 | LR=2.99e-04 | TLoss=8.3250 | VLoss=33.4386 | AP@50=0.3667
  Epoch  26/50 | LR=2.84e-04 | TLoss=8.1401 | VLoss=32.9329 | AP@50=0.4757
  Epoch  27/50 | LR=2.68e-04 | TLoss=8.0090 | VLoss=32.5820 | AP@50=0.4827
  Epoch  28/50 | LR=2.53e-04 | TLoss=7.9339 | VLoss=32.4809 | AP@50=0.4303
  Epoch  29/50 | LR=2.37e-04 | TLoss=7.3110 | VLoss=30.4116 | AP@50=0.3788
  Epoch  30/50 | LR=2.21e-04 | TLoss=8.0236 | VLoss=33.1893 | AP@50=0.3702
  Epoch  31/50 | LR=2.06e-04 | TLoss=7.6466 | VLoss=33.5258 | AP@50=0.4040
  Epoch  32/50 | LR=1.90e-04 | TLoss=7.0607 | VLoss=32.0000 | AP@50=0.4619
  Epoch  33/50 | LR=1.74e-04 | TLoss=6.7078 | VLoss=32.8868 | AP@50=0.4336
  Epoch  34/50 | LR=1.59e-04 | TLoss=6.7142 | VLoss=32.1828 | AP@50=0.4569
  Epoch  35/50 | LR=1.44e-04 | TLoss=6.3315 | VLoss=31.4693 | AP@50=0.4606
  Epoch  36/50 | LR=1.30e-04 | TLoss=6.2453 | VLoss=34.5135 | AP@50=0.4225
  Epoch  37/50 | LR=1.16e-04 | TLoss=5.8096 | VLoss=34.5999 | AP@50=0.4566
  Epoch  38/50 | LR=1.02e-04 | TLoss=6.1983 | VLoss=33.2939 | AP@50=0.4462
  Epoch  39/50 | LR=8.96e-05 | TLoss=5.9588 | VLoss=35.6221 | AP@50=0.3760
  Epoch  40/50 | LR=7.76e-05 | TLoss=5.7334 | VLoss=33.5620 | AP@50=0.4386
  Epoch  41/50 | LR=6.64e-05 | TLoss=6.0301 | VLoss=31.0791 | AP@50=0.4147
  Epoch  42/50 | LR=5.61e-05 | TLoss=5.7517 | VLoss=34.4471 | AP@50=0.4034
  Epoch  43/50 | LR=4.67e-05 | TLoss=6.0086 | VLoss=33.9371 | AP@50=0.4340
  Epoch  44/50 | LR=3.83e-05 | TLoss=5.5273 | VLoss=33.3903 | AP@50=0.4305
  Epoch  45/50 | LR=3.09e-05 | TLoss=5.4744 | VLoss=34.0215 | AP@50=0.4697
  Epoch  46/50 | LR=2.46e-05 | TLoss=5.4948 | VLoss=33.4216 | AP@50=0.4476
  Epoch  47/50 | LR=1.94e-05 | TLoss=5.3812 | VLoss=33.6383 | AP@50=0.4361
  Epoch  48/50 | LR=1.53e-05 | TLoss=5.5324 | VLoss=33.3671 | AP@50=0.4481
  Epoch  49/50 | LR=1.24e-05 | TLoss=5.5724 | VLoss=33.3308 | AP@50=0.4501
  Epoch  50/50 | LR=1.06e-05 | TLoss=5.5548 | VLoss=33.3175 | AP@50=0.4613

[Trial 23] lr=1.60e-03  wd=2.34e-03  stride=7  bs=8  mosaic=0.48  ls=0.055  clahe=True  ssr=False  rbc=True
ScanAwareSampler: 13 scans, 2306 total slices, stride=7 → ~336 slices/epoch (15% of training set per epoch)
  Epoch   1/50 | LR=1.60e-04 | TLoss=195.3212 | VLoss=86.3284 | AP@50=0.0003
  Epoch   2/50 | LR=3.41e-04 | TLoss=37.7890 | VLoss=41.0795 | AP@50=0.0004
  Epoch   3/50 | LR=5.21e-04 | TLoss=31.9484 | VLoss=37.7506 | AP@50=0.0119
  Epoch   4/50 | LR=7.02e-04 | TLoss=24.6565 | VLoss=42.3242 | AP@50=0.1728
  Epoch   5/50 | LR=8.82e-04 | TLoss=22.9858 | VLoss=43.0184 | AP@50=0.0290
