Job array  : 732, task 2
Node       : bn033
Started at : Tue Mar 17 10:46:13 AM EDT 2026
Config     : train/config/default.yaml
Study      : yoloe_hparam_search_v3 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Study name : yoloe_hparam_search_v3
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 1] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False  median=False(limit=7)  speckle=False(heavy)  cp_p=0.14
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=445.8654 | VLoss=503.6343 | AP@50=0.0005
  Epoch   2/50 | LR=9.20e-05 | TLoss=319.4594 | VLoss=311.4760 | AP@50=0.0005
  Epoch   3/50 | LR=1.41e-04 | TLoss=176.2601 | VLoss=175.4984 | AP@50=0.0008
  Epoch   4/50 | LR=1.89e-04 | TLoss=87.0433 | VLoss=90.2195 | AP@50=0.0002
  Epoch   5/50 | LR=2.38e-04 | TLoss=48.6412 | VLoss=53.4479 | AP@50=0.0000
  Epoch   6/50 | LR=2.87e-04 | TLoss=33.4982 | VLoss=41.5882 | AP@50=0.0014
  Epoch   7/50 | LR=3.35e-04 | TLoss=26.4594 | VLoss=43.2593 | AP@50=0.0210
  Epoch   8/50 | LR=3.84e-04 | TLoss=26.4867 | VLoss=38.1633 | AP@50=0.0587
  Epoch   9/50 | LR=4.33e-04 | TLoss=25.5980 | VLoss=34.3277 | AP@50=0.1784
  Epoch  10/50 | LR=4.32e-04 | TLoss=22.4333 | VLoss=36.0698 | AP@50=0.1976
  Epoch  11/50 | LR=4.30e-04 | TLoss=19.1584 | VLoss=42.8556 | AP@50=0.0861
