Job array    : 752, task 11
Node         : bn049
Started at   : Tue Mar 17 02:39:18 PM EDT 2026
Config       : train/config/default.yaml
Study        : yoloe_hparam_search_v4 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4
Study name   : yoloe_hparam_search_v4
Storage      : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Epochs/trial : 50 (max, EMA early stopping patience=15)
EMA alpha    : 0.3
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4

[Trial 10] lr=4.33e-04  wd=7.97e-03  stride=10  bs=16  mosaic=0.39  ls=0.090  clahe=True  ssr=True  rbc=False  median=True(limit=5)  speckle=False(medium)  cp_p=0.11
ScanAwareSampler: 13 scans, 2306 total slices, stride=10 → ~236 slices/epoch (10% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=444.8707 | VLoss=521.2265 | AP@50=0.0000 | SliceAP=0.1782 | EMA_SliceAP=0.1782
  Epoch   2/50 | LR=9.20e-05 | TLoss=329.7869 | VLoss=335.0129 | AP@50=0.0020 | SliceAP=0.4653 | EMA_SliceAP=0.2644
  Epoch   3/50 | LR=1.41e-04 | TLoss=191.5838 | VLoss=181.1627 | AP@50=0.0001 | SliceAP=0.5050 | EMA_SliceAP=0.3365
  Epoch   4/50 | LR=1.89e-04 | TLoss=90.9526 | VLoss=91.7797 | AP@50=0.0000 | SliceAP=0.2574 | EMA_SliceAP=0.3128
  Epoch   5/50 | LR=2.38e-04 | TLoss=52.3309 | VLoss=56.6479 | AP@50=0.0001 | SliceAP=0.1386 | EMA_SliceAP=0.2605
  Epoch   6/50 | LR=2.87e-04 | TLoss=36.4808 | VLoss=44.5593 | AP@50=0.0008 | SliceAP=0.0792 | EMA_SliceAP=0.2061
  Epoch   7/50 | LR=3.35e-04 | TLoss=33.6695 | VLoss=39.8739 | AP@50=0.0004 | SliceAP=0.0891 | EMA_SliceAP=0.1710
  Epoch   8/50 | LR=3.84e-04 | TLoss=29.1099 | VLoss=36.8162 | AP@50=0.0239 | SliceAP=0.3663 | EMA_SliceAP=0.2296
  Epoch   9/50 | LR=4.33e-04 | TLoss=28.1838 | VLoss=34.8950 | AP@50=0.1211 | SliceAP=0.3861 | EMA_SliceAP=0.2766
  Epoch  10/50 | LR=4.32e-04 | TLoss=27.1788 | VLoss=41.0192 | AP@50=0.0297 | SliceAP=0.3366 | EMA_SliceAP=0.2946
  Epoch  11/50 | LR=4.30e-04 | TLoss=25.0104 | VLoss=36.8899 | AP@50=0.0258 | SliceAP=0.3069 | EMA_SliceAP=0.2983
  Epoch  12/50 | LR=4.28e-04 | TLoss=22.8257 | VLoss=37.1193 | AP@50=0.0983 | SliceAP=0.4356 | EMA_SliceAP=0.3395
  Epoch  13/50 | LR=4.23e-04 | TLoss=20.2613 | VLoss=36.4005 | AP@50=0.0914 | SliceAP=0.5644 | EMA_SliceAP=0.4070
  Epoch  14/50 | LR=4.18e-04 | TLoss=20.4666 | VLoss=41.7856 | AP@50=0.3536 | SliceAP=0.6040 | EMA_SliceAP=0.4661
  Epoch  15/50 | LR=4.12e-04 | TLoss=17.5753 | VLoss=38.6505 | AP@50=0.2282 | SliceAP=0.6733 | EMA_SliceAP=0.5282
  Epoch  16/50 | LR=4.05e-04 | TLoss=15.0734 | VLoss=33.6719 | AP@50=0.3570 | SliceAP=0.6733 | EMA_SliceAP=0.5717
  Epoch  17/50 | LR=3.96e-04 | TLoss=15.7537 | VLoss=33.4998 | AP@50=0.3420 | SliceAP=0.7327 | EMA_SliceAP=0.6200
  Epoch  18/50 | LR=3.87e-04 | TLoss=15.8858 | VLoss=37.4345 | AP@50=0.1324 | SliceAP=0.5644 | EMA_SliceAP=0.6033
  Epoch  19/50 | LR=3.76e-04 | TLoss=14.7142 | VLoss=33.6766 | AP@50=0.3013 | SliceAP=0.6634 | EMA_SliceAP=0.6213
  Epoch  20/50 | LR=3.65e-04 | TLoss=13.3181 | VLoss=36.4824 | AP@50=0.2189 | SliceAP=0.6832 | EMA_SliceAP=0.6399
  Epoch  21/50 | LR=3.53e-04 | TLoss=13.4636 | VLoss=35.8990 | AP@50=0.3077 | SliceAP=0.6139 | EMA_SliceAP=0.6321
  Epoch  22/50 | LR=3.41e-04 | TLoss=12.3231 | VLoss=37.3123 | AP@50=0.2766 | SliceAP=0.5248 | EMA_SliceAP=0.5999
  Epoch  23/50 | LR=3.27e-04 | TLoss=12.7225 | VLoss=35.2662 | AP@50=0.2892 | SliceAP=0.6139 | EMA_SliceAP=0.6041
  Epoch  24/50 | LR=3.13e-04 | TLoss=11.4072 | VLoss=35.6903 | AP@50=0.3395 | SliceAP=0.6733 | EMA_SliceAP=0.6248
  Epoch  25/50 | LR=2.99e-04 | TLoss=11.5363 | VLoss=32.2888 | AP@50=0.3625 | SliceAP=0.6832 | EMA_SliceAP=0.6423
  Epoch  26/50 | LR=2.84e-04 | TLoss=10.7944 | VLoss=33.1298 | AP@50=0.3772 | SliceAP=0.6535 | EMA_SliceAP=0.6457
  Epoch  27/50 | LR=2.68e-04 | TLoss=10.7522 | VLoss=33.8422 | AP@50=0.4048 | SliceAP=0.6733 | EMA_SliceAP=0.6540
  Epoch  28/50 | LR=2.53e-04 | TLoss=10.9179 | VLoss=33.5886 | AP@50=0.3820 | SliceAP=0.6733 | EMA_SliceAP=0.6597
  Epoch  29/50 | LR=2.37e-04 | TLoss=10.1931 | VLoss=34.2124 | AP@50=0.4088 | SliceAP=0.6337 | EMA_SliceAP=0.6519
  Epoch  30/50 | LR=2.21e-04 | TLoss=9.9146 | VLoss=34.6992 | AP@50=0.4054 | SliceAP=0.6832 | EMA_SliceAP=0.6613
  Epoch  31/50 | LR=2.06e-04 | TLoss=9.5382 | VLoss=33.5118 | AP@50=0.4236 | SliceAP=0.6931 | EMA_SliceAP=0.6708
  Epoch  32/50 | LR=1.90e-04 | TLoss=9.4441 | VLoss=34.2318 | AP@50=0.4059 | SliceAP=0.6634 | EMA_SliceAP=0.6686
  Epoch  33/50 | LR=1.74e-04 | TLoss=9.6921 | VLoss=33.4044 | AP@50=0.4037 | SliceAP=0.6634 | EMA_SliceAP=0.6670
  Epoch  34/50 | LR=1.59e-04 | TLoss=8.8613 | VLoss=33.1864 | AP@50=0.4405 | SliceAP=0.6832 | EMA_SliceAP=0.6719
  Epoch  35/50 | LR=1.44e-04 | TLoss=9.0522 | VLoss=33.8196 | AP@50=0.4036 | SliceAP=0.6832 | EMA_SliceAP=0.6753
  Epoch  36/50 | LR=1.30e-04 | TLoss=8.0202 | VLoss=33.9250 | AP@50=0.3327 | SliceAP=0.6337 | EMA_SliceAP=0.6628
  Epoch  37/50 | LR=1.16e-04 | TLoss=9.7781 | VLoss=33.5825 | AP@50=0.3535 | SliceAP=0.6436 | EMA_SliceAP=0.6570
  Epoch  38/50 | LR=1.02e-04 | TLoss=8.1222 | VLoss=32.3023 | AP@50=0.4101 | SliceAP=0.6535 | EMA_SliceAP=0.6559
  Epoch  39/50 | LR=8.96e-05 | TLoss=8.8494 | VLoss=31.9600 | AP@50=0.4177 | SliceAP=0.6535 | EMA_SliceAP=0.6552
  Epoch  40/50 | LR=7.76e-05 | TLoss=8.4020 | VLoss=31.9904 | AP@50=0.4090 | SliceAP=0.6733 | EMA_SliceAP=0.6606
  Epoch  41/50 | LR=6.64e-05 | TLoss=8.4146 | VLoss=32.3013 | AP@50=0.4027 | SliceAP=0.6733 | EMA_SliceAP=0.6644
  Epoch  42/50 | LR=5.61e-05 | TLoss=8.4577 | VLoss=33.2989 | AP@50=0.3841 | SliceAP=0.6535 | EMA_SliceAP=0.6611
  Epoch  43/50 | LR=4.67e-05 | TLoss=7.8196 | VLoss=33.1314 | AP@50=0.3819 | SliceAP=0.6535 | EMA_SliceAP=0.6588
  Epoch  44/50 | LR=3.83e-05 | TLoss=8.1645 | VLoss=32.9268 | AP@50=0.3888 | SliceAP=0.6436 | EMA_SliceAP=0.6543
  Epoch  45/50 | LR=3.09e-05 | TLoss=7.7946 | VLoss=33.3412 | AP@50=0.3851 | SliceAP=0.6436 | EMA_SliceAP=0.6510
  Epoch  46/50 | LR=2.46e-05 | TLoss=7.0143 | VLoss=33.2232 | AP@50=0.3932 | SliceAP=0.6535 | EMA_SliceAP=0.6518
  [Early stop at epoch 46, best EMA SliceAP=0.6708]
  [Checkpoints] top-3 saved → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4/trial_0010/swa_manifest.yaml

[Trial 40] lr=1.80e-03  wd=3.64e-03  stride=5  bs=8  mosaic=0.19  ls=0.057  clahe=False  ssr=False  rbc=True  median=False(limit=7)  speckle=True(heavy)  cp_p=0.01
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=1.80e-04 | TLoss=168.4876 | VLoss=54.2509 | AP@50=0.0006 | SliceAP=0.2871 | EMA_SliceAP=0.2871
  Epoch   2/50 | LR=3.83e-04 | TLoss=35.3706 | VLoss=38.1428 | AP@50=0.0034 | SliceAP=0.1881 | EMA_SliceAP=0.2574
  Epoch   3/50 | LR=5.86e-04 | TLoss=31.6983 | VLoss=42.5075 | AP@50=0.0972 | SliceAP=0.5941 | EMA_SliceAP=0.3584
  Epoch   4/50 | LR=7.88e-04 | TLoss=24.9262 | VLoss=39.7709 | AP@50=0.1662 | SliceAP=0.6139 | EMA_SliceAP=0.4350
  Epoch   5/50 | LR=9.91e-04 | TLoss=19.6536 | VLoss=34.4194 | AP@50=0.0896 | SliceAP=0.5644 | EMA_SliceAP=0.4738
  Epoch   6/50 | LR=1.19e-03 | TLoss=16.9639 | VLoss=39.8147 | AP@50=0.1613 | SliceAP=0.6634 | EMA_SliceAP=0.5307
